# Dag	# Fase
2026-01-18	27.634
2026-02-17	27.920
2026-03-19	 0.363
2026-04-17	27.917
2026-05-16	27.538
2026-06-15	 0.330
2026-07-14	 0.012
2026-08-12	27.666
2026-09-11	 0.269
2026-10-10	27.772
2026-11-09	 0.109
2026-12-09	 0.323
2027-01-07	27.635
2027-02-06	27.788
2027-03-08	 0.019
2027-04-07	 0.407
2027-05-06	27.958
2027-06-04	27.569
2027-07-04	 0.319
2027-08-02	27.996
2027-08-31	27.650
2027-09-30	 0.323
2027-10-29	27.850
2027-11-28	 0.255
2027-12-27	27.625
2028-01-26	27.816
2028-02-25	27.978
2028-03-26	 0.197
2028-04-24	27.631
2028-05-24	 0.069
2028-06-22	27.644
2028-07-22	 0.310
2028-08-20	27.966
2028-09-18	27.609
2028-10-18	 0.321
2028-11-16	27.855
2028-12-16	 0.321
2029-01-14	27.715
2029-02-13	27.980
2029-03-15	 0.201
2029-04-13	27.588
2029-05-13	27.866
2029-06-12	 0.232
2029-07-11	27.767
2029-08-10	 0.343
2029-09-08	27.967
2029-10-07	27.573
2029-11-06	 0.259
2029-12-05	27.780
2030-01-04	 0.308
2030-02-02	27.749
2030-03-04	 0.131
2030-04-03	 0.435
2030-05-02	27.851
2030-06-01	 0.128
2030-06-30	27.584
2030-07-30	27.955
2030-08-29	 0.439
2030-09-27	 0.003
2030-10-26	27.543
2030-11-25	 0.148
2030-12-24	27.652
2031-01-23	 0.247
2031-02-21	27.747
2031-03-23	 0.250
2031-04-21	27.734
2031-05-21	 0.098
2031-06-20	 0.409
2031-07-19	27.870
2031-08-18	 0.198
2031-09-16	27.669
2031-10-16	 0.066
